"","region","province","city","density","pop","area"
"1","National Capital Region","N/A","City of Manila",42628,1780148,1780148
"2","National Capital Region","N/A","Quezon City",17099,2936116,2936116
"3","National Capital Region","N/A","Caloocan City",28387,1583978,1583978
"4","National Capital Region","N/A","Pasay City",23038,416522,416522
"5","National Capital Region","N/A","City of Las PiÐas",17878,588894,588894
"6","National Capital Region","N/A","City of Makati",27010,582602,582602
"7","National Capital Region","N/A","City of Malabon",23267,365525,365525
"8","National Capital Region","N/A","City of Mandaluyong",41580,386276,386276
"9","National Capital Region","N/A","City of Marikina",19479,450741,450741
"10","National Capital Region","N/A","City of Muntinlupa",12692,504509,504509
"11","National Capital Region","N/A","City of Navotas",22845,249463,249463
"12","National Capital Region","N/A","City of ParaÐaque",13757,665822,665822
"13","National Capital Region","N/A","City of Pasig",15586,755300,755300
"14","National Capital Region","N/A","City of San Juan",21102,122180,122180
"15","National Capital Region","N/A","Taguig City",17804,804915,804915
"16","National Capital Region","N/A","City of Valenzuela",13687,620422,620422
"17","National Capital Region","N/A","Municipality of Pateros",6138,63840,63840
"18","Cordillera Administrative Region","Abra","Bangued (Capital)",353,48163,48163
"19","Cordillera Administrative Region","Abra","Boliney",17,3573,3573
"20","Cordillera Administrative Region","Abra","Bucay",168,17115,17115
"21","Cordillera Administrative Region","Abra","Bucloc",39,2501,2501
"22","Cordillera Administrative Region","Abra","Daguioman",18,2088,2088
"23","Cordillera Administrative Region","Abra","Danglas",17,4192,4192
"24","Cordillera Administrative Region","Abra","Dolores",238,11315,11315
"25","Cordillera Administrative Region","Abra","La Paz",300,15437,15437
"26","Cordillera Administrative Region","Abra","Lacub",14,3403,3403
"27","Cordillera Administrative Region","Abra","Lagangilang",115,14255,14255
"28","Cordillera Administrative Region","Abra","Lagayan",21,4499,4499
"29","Cordillera Administrative Region","Abra","Langiden",28,3198,3198
"30","Cordillera Administrative Region","Abra","Licuan-Baay",18,4689,4689
"31","Cordillera Administrative Region","Abra","Luba",43,6339,6339
"32","Cordillera Administrative Region","Abra","Malibcong",15,3428,3428
"33","Cordillera Administrative Region","Abra","Manabo",133,10761,10761
"34","Cordillera Administrative Region","Abra","PeÐarrubia",170,6640,6640
"35","Cordillera Administrative Region","Abra","Pidigan",248,12185,12185
"36","Cordillera Administrative Region","Abra","Pilar",155,10223,10223
"37","Cordillera Administrative Region","Abra","Sallapadan",51,6622,6622
"38","Cordillera Administrative Region","Abra","San Isidro",95,4574,4574
"39","Cordillera Administrative Region","Abra","San Juan",154,9867,9867
"40","Cordillera Administrative Region","Abra","San Quintin",82,5438,5438
"41","Cordillera Administrative Region","Abra","Tayum",260,14467,14467
"42","Cordillera Administrative Region","Abra","Tineg",6,5097,5097
"43","Cordillera Administrative Region","Abra","Tubo",12,5699,5699
"44","Cordillera Administrative Region","Abra","Villaviciosa",52,5392,5392
"45","Cordillera Administrative Region","Apayao","Calanasan",10,12604,12604
"46","Cordillera Administrative Region","Apayao","Conner",29,26051,26051
"47","Cordillera Administrative Region","Apayao","Flora",42,17391,17391
"48","Cordillera Administrative Region","Apayao","Kabugao (Capital)",17,15537,15537
"49","Cordillera Administrative Region","Apayao","Luna",46,19063,19063
"50","Cordillera Administrative Region","Apayao","Pudtol",37,14925,14925
"51","Cordillera Administrative Region","Apayao","Santa Marcela",69,13613,13613
"52","Cordillera Administrative Region","Benguet","Atok",104,19668,19668
"53","Cordillera Administrative Region","Benguet","Bakun",54,15357,15357
"54","Cordillera Administrative Region","Benguet","Bokod",50,13756,13756
"55","Cordillera Administrative Region","Benguet","Buguias",248,43627,43627
"56","Cordillera Administrative Region","Benguet","Itogon",133,59820,59820
"57","Cordillera Administrative Region","Benguet","Kabayan",63,15260,15260
"58","Cordillera Administrative Region","Benguet","Kapangan",118,19361,19361
"59","Cordillera Administrative Region","Benguet","Kibungan",68,17292,17292
"60","Cordillera Administrative Region","Benguet","La Trinidad (Capital)",1844,129133,129133
"61","Cordillera Administrative Region","Benguet","Mankayan",276,35953,35953
"62","Cordillera Administrative Region","Benguet","Sablan",108,11457,11457
"63","Cordillera Administrative Region","Benguet","Tuba",161,47648,47648
"64","Cordillera Administrative Region","Benguet","Tublay",174,17892,17892
"65","Cordillera Administrative Region","Benguet","Baguio City",6004,345366,345366
"66","Cordillera Administrative Region","Ifugao","Aguinaldo",36,19408,19408
"67","Cordillera Administrative Region","Ifugao","Alfonso Lista",93,32119,32119
"68","Cordillera Administrative Region","Ifugao","Asipulo",83,15261,15261
"69","Cordillera Administrative Region","Ifugao","Banaue",114,21837,21837
"70","Cordillera Administrative Region","Ifugao","Hingyon",149,9227,9227
"71","Cordillera Administrative Region","Ifugao","Hungduan",37,9400,9400
"72","Cordillera Administrative Region","Ifugao","Kiangan",140,17048,17048
"73","Cordillera Administrative Region","Ifugao","Lagawe (Capital)",93,19333,19333
"74","Cordillera Administrative Region","Ifugao","Lamut",169,25279,25279
"75","Cordillera Administrative Region","Ifugao","Mayoyao",47,17331,17331
"76","Cordillera Administrative Region","Ifugao","Tinoc",52,16559,16559
"77","Cordillera Administrative Region","Kalinga","Balbalan",18,12195,12195
"78","Cordillera Administrative Region","Kalinga","Lubuagan",31,8733,8733
"79","Cordillera Administrative Region","Kalinga","Pasil",34,9644,9644
"80","Cordillera Administrative Region","Kalinga","Pinukpuk",43,32026,32026
"81","Cordillera Administrative Region","Kalinga","Rizal",60,17038,17038
"82","Cordillera Administrative Region","Kalinga","Tanudan",31,9534,9534
"83","Cordillera Administrative Region","Kalinga","Tinglayan",59,12868,12868
"84","Cordillera Administrative Region","Kalinga","City of Tabuk (Capital)",158,110642,110642
"85","Cordillera Administrative Region","Mountain Province","Barlig",13,4819,4819
"86","Cordillera Administrative Region","Mountain Province","Bauko",182,31065,31065
"87","Cordillera Administrative Region","Mountain Province","Besao",39,7040,7040
"88","Cordillera Administrative Region","Mountain Province","Bontoc (Capital)",62,24643,24643
"89","Cordillera Administrative Region","Mountain Province","Natonin",40,10272,10272
"90","Cordillera Administrative Region","Mountain Province","Paracelis",49,28121,28121
"91","Cordillera Administrative Region","Mountain Province","Sabangan",85,9315,9315
"92","Cordillera Administrative Region","Mountain Province","Sadanga",27,8799,8799
"93","Cordillera Administrative Region","Mountain Province","Sagada",101,11127,11127
"94","Cordillera Administrative Region","Mountain Province","Tadian",123,19389,19389
"95","Region I - Ilocos ","Ilocos Norte","Adams",11,1792,1792
"96","Region I - Ilocos ","Ilocos Norte","Bacarra",493,32215,32215
"97","Region I - Ilocos ","Ilocos Norte","Badoc",378,31616,31616
"98","Region I - Ilocos ","Ilocos Norte","Bangui",135,14672,14672
"99","Region I - Ilocos ","Ilocos Norte","Banna ",210,19438,19438
"100","Region I - Ilocos ","Ilocos Norte","Burgos",76,9777,9777
"101","Region I - Ilocos ","Ilocos Norte","Carasi",19,1567,1567
"102","Region I - Ilocos ","Ilocos Norte","Currimao",324,12184,12184
"103","Region I - Ilocos ","Ilocos Norte","Dingras",353,38562,38562
